user playlist,knn recs,mf recs,s,r,euclidean dist,normalized euclidean dist,cosine sim,jaccard sim
['a mirage _ the essence'],['my bag _ lloyd cole and the commotions'],['the addict _ bo saris'],1,1,17.755155277896737,0.09821962263524334,0.997409423937721,0.0
"['one in a million _ aaliyah', 'honey love _ r. kelly', ""it's the end of the world as we know it (and i feel fine) _ r.e.m."", 'wheelz of steel _ outkast', 'this is what it feels like - w&w radio edit _ armin van buuren']","['piedra _ caifanes', 'twork it out _ usher', 'nights like this _ after 7', 'never keeping secrets _ babyface', 'you mean the world to me _ toni braxton']","['the kids (feat. janelle monáe) _ b.o.b', 'honey love _ r. kelly', 'satisfy you _ diddy', 'heart-shaped box _ nirvana', 'my prerogative _ bobby brown']",5,5,7.129031438567999,0.03943704049283208,0.9993332324797112,0.0
"['freeloader - spencer & hill radio edit _ dave darell', 'dawn - hardwell edit _ michael brun', 'show me love (infinity remix) _ jack holiday', 'stay fly - explicit album version _ three 6 mafia', 'swine _ lady gaga']","['flashlight _ r3hab', 'hair of the dog _ nazareth', 'everything - cazzette remix _ edx', 'we own the night - original mix _ tiësto', 'stay _ david guetta', 'rockin - original mix _ dubvision', 'get up (rattle) - vocal extended version _ bingo players', 'lessons in love (feat. neon trees) _ kaskade', 'arsonist - original mix _ firebeatz', ""lola's theme _ the shapeshifters""]","['close to me - remastered _ the cure', ""without the bitter the sweet isn't as sweet _ mayday parade"", 'cry _ the used', 'life in the balance _ the four owls', 'swine _ lady gaga', 'coming down _ five finger death punch', 'sabor a melao _ daddy yankee', 'waiting for tonight _ jennifer lopez', 'poppin bottles (feat. drake) _ t.i.', 'not too late - original club mix _ heiko & maiko']",5,10,13.306498829343141,0.07361013030628995,0.9999374420176728,0.0
"[""let's straighten it out _ latimore"", 'little games - st. lucia remix _ the colourist', 'contract (feat. 8 ball, mjg) _ 8ball', 'baby by me _ 50 cent', 'shark in the water _ the cocktails']","['boom, boom, boom _ willie clayton', 'is this love - montmartre remix _ bob marley & the wailers', 'black birds _ artofficial', 'hurricane _ the click', 'georgia dome (get low sequel) _ ying yang twins', 'deck the halls / silent night _ whitney houston', 'one day _ ugk', 'boy you knock me out - single edit _ tatyana ali', ""my love is the shhh! _ somethin' for the people"", 'can you feel me _ dru down', 'self control _ laura branigan', 'back in the day _ erykah badu', 'pissed off _ angie stone', 'in da club _ lil jon & the east side boyz', 'no entiendes la onda (how i could just kill a man) - spanish edit _ cypress hill']","['la gozadera _ gente de zona', 'awa adounia _ liya ag ablil', 'we are one (ole ola) [the official 2014 fifa world cup song] _ pitbull', 'shark in the water _ the cocktails', 'culo _ pitbull', 'fake plastic trees _ radiohead', 'uprising _ muse', 'dust in the wind (acoustic guitar solo) - live acoustic guitar solo _ kansas', 'never can say goodbye _ the communards', 'private passion _ jeff lorber', ""swagga like us - t.i. and jay-z feat. kanye west and lil' wayne _ t.i."", 'live to win _ paul stanley', 'yo también _ romeo santos', 'only the young _ journey', 'beast _ nico vega']",5,15,2.5849974571592127,0.014299929839043232,0.9998278418278083,0.0
"['eyes wide open _ sabrina carpenter', 'rock and roll all nite _ kiss', 'anarchy in the uk _ sex pistols', 'potential breakup song _ aly & aj', 'hard time - kretsen remix _ seinabo sey']","['make your mark _ drew ryan scott', 'liquid confidence (nothing to lose) _ you me at six', 'angel with a shotgun _ the cab', 'miedo _ caifanes', 'love with a motive _ the audition', 'here i am _ renee sandstrom', 'sólo para mí _ belanova', 'mz. hyde _ halestorm', 'whatever _ godsmack', 'always love _ nada surf', 'grace kelly _ mika', 'wicked game _ him', 'so far away _ crossfade', 'dream police _ cheap trick', 'oxygen _ maia mitchell', 'cinema (feat. gary go) - radio edit _ benny benassi', 'psycho _ puddle of mudd', 'loverboy _ you me at six', 'who i am _ nick jonas & the administration', 'freak like me _ halestorm']","['eyes wide open _ sabrina carpenter', 'babylon (feat. kendrick lamar) _ sza', 'crimson and clover _ tommy james', 'hoy _ morbo', 'secret agent _ tony allen', 'kein herz _ x-rx', 'delorean dynamite _ todd terje', 'siempre peligroso - feat. fermin iv caballero of control machete _ cypress hill', 'loco _ jowell & randy', 'te dijeron _ plan b', 'hallelujah _ logic', 'a long walk _ jill scott', 'just _ radiohead', 'video killed the radio star _ the buggles', 'kick ass _ egypt central', 'this is dirty - original mix _ dvbbs', 'stop crying your heart out _ oasis', 'dear life - original mix _ dannic', 'hyperparadise - flume remix _ hermitude', 'gotta find you _ joe jonas']",5,20,11.995160760582726,0.06635594816904794,0.9993830120115278,0.0
"['the passenger _ iggy pop', 'right here _ jess glynne', 'call me _ in this moment', 'the night comes down - remastered 2011 _ queen', 'so many details _ toro y moi']","['piedra _ caifanes', 'calling all girls - remastered 2011 _ queen', 'dream police _ cheap trick', '867-5309 / jenny _ tommy tutone', 'red right hand _ arctic monkeys', 'sharp dressed man _ zz top', 'detrás de ti _ caifanes', 'detroit rock city _ kiss', 'if i ever fall in love _ somewhere over england', 'heard it in a love song _ the marshall tucker band', 'army of me _ björk', 'worldwide _ big time rush', 'no more mr. nice guy - remastered version _ alice cooper', 'back (with jake owen) _ colt ford', 'jump - remastered version _ van halen', 'mr. jones _ counting crows', 'the noise inside my head _ assemblage 23', 'wicked game _ him', ""somebody's crying - remastered _ chris isaak"", ""uncle tom's cabin _ warrant"", 'where the streets have no name - single edit _ u2', 'walk away _ franz ferdinand', 'sour patch kids _ bryce vine', 'analyse _ the cranberries', 'put out the fire - remastered 2011 _ queen']","[""(i've had) the time of my life _ bill medley"", 'white iverson _ post malone', 'i smell pussy _ g-unit', 'people have the power _ patti smith', 'junto al amanecer _ j alvarez', 'vato _ snoop dogg', 'holding back the years _ simply red', 'regulate _ warren g', 'quiero ver _ café tacvba', 'got to give it up _ aaliyah', ""i'm like a bird - acoustic version _ nelly furtado"", 'jasey rae _ all time low', 'come back to me - filous remix _ urban cone', 'given up _ linkin park', 'put your records on _ corinne bailey rae', 'blame it on the rain _ milli vanilli', 'money on my mind _ lil wayne', 'so many details _ toro y moi', ""heads high (kill 'em with it re-mix) _ mr. vegas"", '$100 (feat. polo donatello) _ mibbs', 'elements _ lindsey stirling', 'i gotta feeling - edit _ the black eyed peas', 'what the f**k - funkagenda remix _ fatboy slim', 'crash the disco - original mix _ abel ramos', 'si te vienen a contar _ cartel de santa']",5,25,9.869033461082536,0.05459443903195999,0.9998758608315793,0.0
"['on the wings of love _ jeffrey osborne', 'boogie down bronx _ man parrish', 'too much to handle _ great good fine ok', 'la incondicional _ luis miguel', 'is this love _ sye elaine spence']","['making plans for nigel _ nouvelle vague', ""didn't we almost have it all _ whitney houston"", 'i like _ kut klose', 'kissing you _ keith washington', 'whip appeal _ babyface', 'como me duele perderte _ gloria estefan', 'bonita _ cabas', ""they don't know _ jon b."", 'completamente enamorados _ chayanne', 'when i see you smile _ bad english', 'pegadito _ tommy torres', 'me dediqué a perderte _ alejandro fernandez', 'vuelve _ ricky martin', 'hold me, thrill me, kiss me _ gloria estefan', 'isla para dos _ nano cabrera', 'lesson learned (feat. john mayer) _ alicia keys', 'lifetime _ maxwell', 'still my child _ mary mary', 'if you love me _ brownstone', 'shower me with your love _ surface', 'with you _ tony terry', 'carrying your love with me _ george strait', 'your love gets sweeter _ finley quaye', ""don't wanna lose you _ gloria estefan"", 'who can i run to _ xscape', 'rocksteady _ remy shand', 'stars _ callalily', 'antes de que nos olviden _ caifanes', 'pretty wings - uncut _ maxwell', 'easy (like sunday morning) _ charles givings']","['winter born (this sacrifice) _ the crüxshadows', 'wobble _ v.i.c.', ""brandy (you're a fine girl) _ looking glass"", 'sweet dreams _ la bouche', 'westside _ tq', 'hello, i love you _ the doors', 'souvenir _ león larregui', 'butterflies and hurricanes _ muse', 'snitch _ lil wayne', 'lavender _ marillion', 'boogie down bronx _ man parrish', 'todas mueren por mí _ cartel de santa', 'country girl (shake it for me) _ luke bryan', 'd# fat - radio edit _ armin van buuren', 'sound of letting go (feat. chris willis) _ david guetta', ""your body's callin' _ r. kelly"", 'saints - original mix _ jenaux', 'dizzy _ dimmi', 'symphonica - radio edit _ nicky romero', 'backyard boogie _ mack 10', 'tu principe _ reggaeton latino', 'somewhere only we know _ keane', 'you remind me _ mary j. blige', 'odessa _ caribou', 'counting stars _ onerepublic', 'welcome to the machine - 2011 remastered version _ pink floyd', 'una en un millón - new mix _ joey montana', 'far away _ nickelback', 'real big _ mannie fresh', 'bad company _ five finger death punch']",5,30,4.679389410169995,0.025885882428886064,0.999406005662529,0.0
"['all about us _ he is we', 'come see me _ jill scott', 'falling for ya _ grace phipps', 'te quiero amar - remix _ pasabordo', 'imaginate _ wisin & yandel']","['so close _ jennette mccurdy', ""bitch i'm madonna _ madonna"", 'wolves _ digitalism', 'meant to be _ ross lynch', 'i cry _ flo rida', 'my head is a jungle - mk remix [radio edit] _ wankelmut', 'papi _ jennifer lopez', 'make a movie _ jasmine sagginario', 'la la la - kaos remix _ naughty boy', 'make your mark _ drew ryan scott', 'blackbeak _ youngblood hawke', 'who i am _ nick jonas & the administration', 'he said she said _ ashley tisdale', 'strangers in the wind _ cut copy', 'the rockers (feat. wiz khalifa) _ action bronson', 'e.t. _ katy perry', 'here i am _ renee sandstrom', 'we are one (ole ola) [the official 2014 fifa world cup song] _ pitbull', 'drunk all the time (feat. simon lord) _ dillon francis', 'loverboy _ you me at six', 'ghost town _ adam lambert', 'sour patch kids _ bryce vine', 'boy you knock me out - single edit _ tatyana ali', 'ni una sola palabra _ paulina rubio', ""don't hold your breath _ nicole scherzinger"", 'such mich find mich _ oomph!', 'replay _ zendaya', 'oxygen _ maia mitchell', 'heart made up on you _ r5', 'keep together _ hunter hunted', 'animal instinct _ the cranberries', 'blame it on waylon _ josh thompson', 'sometimes _ miami horror', 'one more chance _ deitrick haddon', 'verrückt _ eisbrecher']","['fire burning _ sean kingston', 'hurricane - unplugged _ thirty seconds to mars', 'luna llena _ don omar', 'touch me _ the doors', 'so much in love _ all-4-one', 'mueve tus caderas - live _ miguel rios', 'loving me 4 me _ christina aguilera', 'fast car _ tracy chapman', 'cherry pie _ warrant', 'mama knew love _ anthony hamilton', 'te quiero amar - remix _ pasabordo', 'life in a northern town _ the dream academy', ""let's spend the night together - stereo version _ the rolling stones"", ""i'm coming out _ diana ross"", 'somebody that i used to know - 4frnt remix _ gotye', 'bedtime story _ goldlink', 'kusanagi _ odesza', 'everybody talks _ neon trees', 'ratchet _ dj white shadow', 'suite: judy blue eyes - remastered _ crosby, stills & nash', 'doag _ great minds', ""tacata' - radio edit _ tacabro"", 'soldiers - original mix _ mike hawkins', 'blue monday _ nouvelle vague', 'burn _ kshmr', 'neutron dance _ the pointer sisters', 'best song ever _ one direction', ""runnin' _ the pharcyde"", 'jubilee street _ nick cave & the bad seeds', 'call me _ in this moment', 'cinema (feat. gary go) - radio edit _ benny benassi', 'imaginate _ wisin & yandel', 'baila mi corazón _ belanova', 'tom sawyer _ rush', 'on melancholy hill _ gorillaz']",5,35,10.641259623204345,0.058866311682214345,0.9998331330058814,0.0
"['i will survive _ gloria gaynor', 'scenes from an italian restaurant _ billy joel', 'i must be high _ south park mexican', ""you ain't know _ birdman"", ""livin' on a prayer _ bon jovi""]","['purple pills _ d12', 'ghetto dreams _ fat pat', 'lick it up _ kiss', 'love me (feat. mase) _ 112', 'dikke tieten _ kempi', 'return of the tres _ delinquent habits', 'part time lover _ h-town', 'i miss my homies _ master p', 'mr. jones _ counting crows', 'the way i feel about you _ karyn white', ""keep on walkin' _ cece peniston"", 'don’t mess wit texas _ lil keke', 'we zijn 1 _ winne', 'losing you _ solange', 'on our own - with rap _ bobby brown', 'my life _ billy joel', 'grita _ control machete', 'tbc _ ragazzi', 'away _ the bolshoi', ""she's got that vibe _ r. kelly"", ""she's a beauty _ the tubes"", ""don't you (forget about me) _ simple minds"", 'southern hospitality (featuring pharrell) _ ludacris', 'uhh ahh _ boyz ii men', 'innocent _ the whispers', ""don't sweat the technique _ eric b. & rakim"", ""small time _ lil' troy"", 'the floor _ johnny gill', 'forever your girl _ paula abdul', 'freak with me _ keith sweat', ""don't go breaking my heart _ elton john"", 'trap or die _ jeezy', 'come over _ rahsaan patterson', 'get it on the floor _ dmx', 'him or me - edit version _ today', 'who do you love _ george thorogood & the destroyers', 'the kind _ delinquent habits', 'i like the way you work _ blackstreet', 'real love _ mary j. blige', 'american woman _ lenny kravitz']","['new sensation _ inxs', 'trouble on my mind _ pusha t', 'elevate _ st. lucia', 'window shopper _ 50 cent', 'wrong side of heaven _ five finger death punch', 'sun _ two door cinema club', ""don't let me be lonely tonight _ david sanborn"", 'no heroes (feat. luciana) - original mix _ firebeatz', 'el problemon _ bonka', 'wait _ white lion', 'wishful thinking _ china crisis', 'tik tok _ kesha', 'keep up _ akon', 'we belong _ pat benatar', 'wonder (feat. the kite string tangle) _ adventure club', 'quien la vio llorar _ don omar', 'anaconda _ nicki minaj', 'i decided _ liv warfield', 'razamanaz _ nazareth', 'how deep is your love _ dru hill', 'broken wings _ mr. mister', 'gone ride with me _ juvenile', 'puzzle _ quintino', ""tear da club up '97 _ three 6 mafia"", 'tutankhamun - original mix _ borgeous', 'say something - zac samuel remix _ karen harding', 'last resort _ papa roach', 'chop suey! _ system of a down', 'lola montez _ volbeat', ""livin' on a prayer _ bon jovi"", 'i am a river _ foo fighters', 'mírame _ daddy yankee', 'urgent _ foreigner', ""you ain't know _ birdman"", 'lo nuestro _ gloria estefan', ""summer of '69 - mtv unplugged version _ bryan adams"", 'afro puffs _ the lady of rage', 'the day you said goodnight _ hale', 'treasure _ bruno mars', 'i want her _ keith sweat']",5,40,21.37707869883255,0.11825571615569415,0.9996668108942335,0.0
"[""it's alright ma, i'm only bleeding _ the duhks"", ""player's ball _ outkast"", 'biggest part of me _ ambrosia', 'two, three, four (elektro mix) _ michael mind', 'staying power - remastered 2011 _ queen']","['piedra _ caifanes', ""i'm dreamin' _ christopher williams"", 'heartz of men _ 2pac', 'back chat - remastered 2011 _ queen', 'tender lover _ babyface', 'policy of truth - 2006 remastered version _ depeche mode', 'isla para dos _ nano cabrera', ""lola's theme _ the shapeshifters"", 'calling all girls - remastered 2011 _ queen', 'forever your girl _ paula abdul', ""keep on walkin' _ cece peniston"", 'on our own _ bobby brown', 'front, back & side to side _ ugk', 'his story _ tlc', 'pumps and a bump _ mc hammer', 'hard hittaz - explicit album version _ three 6 mafia', 'i miss you _ aaron hall', 'state of the world _ janet jackson', 'coffee and tv _ blur', ""don't you (forget about me) _ simple minds"", 'the chauffeur - 2001 remastered version _ duran duran', 'stranger in my house _ ronnie milsap', ""don't go breaking my heart _ elton john"", 'love will save the day _ whitney houston', 'land of confusion - 2007 remaster _ genesis', 'it takes two _ rob base & dj ez rock', ""my lovin' (you're never gonna get it) _ en vogue"", 'happy days _ silk', 'we built this city _ starship', 'come over _ rahsaan patterson', ""let's get down _ tony! toni! toné!"", 'under pressure - remastered _ queen', 'make you sweat _ keith sweat', 'cry _ jay sean', '867-5309 / jenny _ tommy tutone', 'rider _ future', 'sharp dressed man _ zz top', 'superwoman _ karyn white', 'riptide - flicflac edit _ vance joy', 'body language - remastered 2011 _ queen', 'brown skin _ india.arie', 'dreamtime _ daryl hall', 'the way you love me _ karyn white', 'the way i feel about you _ karyn white', 'whatever it takes _ basic black']","['touch me _ the doors', 'i will trust _ fred hammond', 'romantic _ karyn white', ""don't need no help _ young buck"", 'naturally _ selena gomez & the scene', 'no never _ sean c. johnson', 'dynamite _ taio cruz', 'staying power - remastered 2011 _ queen', 'in the end _ linkin park', 'sunny side of the street _ shazalakazoo', 'biggest part of me _ ambrosia', 'breathe _ michelle branch', 'ipagpatawad mo _ mayonnaise', 'gfc _ albert hammond, jr.', ""when i'm away _ the colourist"", 'baknaffek _ das efx', 'always on time _ ja rule', ""i'd rather fuck you _ n.w.a."", 'because the night _ patti smith', 'shine (kygo remix) _ benjamin francis leftwich', 'love will save the day _ whitney houston', 'wish you were here _ pink floyd', 'till the end _ logic', 'how deep is your love (2007 remastered saturday night fever lp version) _ bee gees', 'rocky mountain high _ john denver', 'liar - remastered 2011 _ queen', 'golden skans _ klaxons', 'sounds like a melody _ alphaville', ""don't you forget it _ glenn lewis"", 'macarena _ los del rio', 'shower the people _ james taylor', 'faith - remastered _ george michael', 'archie, marry me _ alvvays', ""lovin' you _ minnie riperton"", ""you don't know how it feels _ tom petty"", 'a horse with no name _ america', 'change _ tears for fears', 'highlife _ cypress hill', 'the nights - avicii by avicii _ avicii', 'rise up - club mix _ yves larock', 'one for the money _ escape the fate', 'power _ pompeya', 'this is what it feels like _ armin van buuren', 'the morning _ the weeknd', ""say my name _ destiny's child""]",5,45,1.19487528353837,0.006609922448350476,0.9999476478367926,0.011235955056179775
